Код	Полное наименование	Короткое наименование	Регион	Район	Улица
101741	ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №4	ГСВ №4	Бишкек	Октябрьский	
102641	ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №5	ГСВ №5	Бишкек	Октябрьский	
101461	ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №1	ГСВ №1	Бишкек	Ленинский	
102581	ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №5	ГСВ №5	Бишкек	Октябрьский	Жукеева-Пудовкина ул.
101731	ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №3	ГСВ №3	Бишкек	Октябрьский	
101831	ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №3	ГСВ №3	Бишкек	Октябрьский	
101821	ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №2	ГСВ №2	Бишкек	Октябрьский	
822661	"ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ ""ЛЕНИНСКОЕ"""	"ГСВ ""ЛЕНИНСКОЕ"""	Чуйская	Аламудунский	Ленина пр.
102631	ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №4	ГСВ №4	Бишкек	Октябрьский	
411991	ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ ИМ З.КОЖОНАЛИЕВА	ГСВ №5  ИМ З.КОЖОНАЛИЕВА	Нарынская	Жумгальский	ул. Токтобеков
102561	ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №3	ГСВ №3	Бишкек	Свердловский	
411541	"ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ ""ЧАЕК"""	"ГСВ ""ЧАЕК"""	Нарынская	Жумгальский	ул. Э. Матыев
101101	ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №8	ГСВ №8	Бишкек	Свердловский	
101221	ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №7	ГСВ №7	Бишкек	Свердловский	
412121	"ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ ""КЫЗЫЛЖЫЛДЫЗ"""	"ГСВ ""КЫЗЫЛЖЫЛДЫЗ"""	Нарынская	Жумгальский	ул. Модубаева
101521	ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №7	ГСВ №7	Бишкек	Ленинский	
101321	ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №4	ГСВ №4	Бишкек	Свердловский	
100751	ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №6	ГСВ №6	Бишкек	Свердловский	Скрябина
101141	"ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ ""ТУНГУЧ"""	"ГСВ ""Тунгуч"""	Бишкек	Свердловский	
101231	ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №8	ГСВ №8	Бишкек	Свердловский	Кольбаева ул.
310481	"ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ ""ДЕДЕМЕЛЬ"""	"ГСВ ""ДЕДЕМЕЛЬ"""	Джалал-Абадская	Тогуз-Тороуский	мектеп
825871	"ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ ""ЛЮКСЕНБУРГ"""	"ГСВ ""ЛЮКСЕНБУРГ"""	Чуйская	Ысык-Атинский	
825911	"ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ ""ДЖЕР-КАЗАР"""	"ГСВ ""ДЖЕР-КАЗАР"""	Чуйская	Ысык-Атинский	
410981	"ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ ""ДЕН-АЛЫШ"""	"ГСВ ""ДЕН-АЛЫШ"""	Нарынская	Кочкорский	Медеркул уулу Айтыгул
821881	"ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ ""СУУСАМЫР"""	"ГСВ ""СУУСАМЫР"""	Чуйская	Жайылский	
821931	"ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ ""ТАШ-ДЕБЕ"""	"ГСВ ""ТАШ-ДЕБЕ"""	Чуйская	Аламудунский	Больничная
101601	ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №2	ГСВ №2	Бишкек	Ленинский	Ай к?ч? ул.
822411	"ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ ""ЧАТ-КЕЛЬ"""	"ГСВ ""ЧАТ-КЕЛЬ"""	Чуйская	Сокулукский	
101581	ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №5	ГСВ №5	Бишкек	Первомайский	Тоголок -Молдо
341711	Центр общеврачебной практики Ноокенского района Жалал-Абадской области	ЦОВП НООКЕНСКОГО РАЙОНА	Джалал-Абадская	Ноокенский	Сорокин ул.
926231	Учреждение «Реабилитационный центр для детей с ограниченными возможностями здоровья с опорно-двигательными нарушениями»	Учреждение «РЦДОВЗ»	город Ош	город Ош	Ленина ул.
542961	Группа семейных врачей №34	ГСВ №34	Баткенская	Кадамжайский	О.Астанаева ул.
512691	БАТКЕНСКИЙ ОБЛАСТНОЙ МЕДИКО-ИНФОРМАЦИОННЫЙ ЦЕНТР	ОМИЦ БАТКЕНСКИЙ	Баткенская	Баткен	Султанмурат Ми?башы ул.
542941	Фельдшерско-акушерский пункт Бай-Тейит	ФАП Бай-Тейит	Баткенская	Кызыл-Кия	Т.Шарипова ул.
101991	СТОМАТОЛОГИЧЕСКАЯ ПОЛИКЛИНИКА №2	СП №2	Бишкек	Ленинский	Киевская ул.
544411	"Фельдшерско-акушерский пункт ""Маш-Завод"""	"ФАП  ""Маш-Завод"""	Баткенская	Кызыл-Кия	Машзавод ул.
825641	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""АЛГА"""	"ФАП ""АЛГА"""	Чуйская	Чуйский	Мамбетжана Сансызбаева ул.
824131	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""КАРА-ОЙ"""	"ФАП ""КАРА-ОЙ"""	Чуйская	Чуйский	Мамбетжана Сансызбаева ул.
100581	Национальный институт общественного здоровья	Национальный институт общественного здоровья	Бишкек	Первомайский	Байтик баатыра ул.
642361	"Учреждение ""Ошский областной центр психиатрии и наркологии"""	"У-е ""ООЦПН"""	Ошская	город Ош	С.Касымбекова ул.
626371	ОШСКАЯ МЕЖ ОБЛАСТНАЯ КЛИНИЧ ДЕТСКАЯ БОЛЬНИЦА	ОШСКАЯ МЕЖ ОБЛ КЛИНИЧ ДЕТСКАЯ БОЛЬНИЦА	Ошская	город Ош	У.Салиевой ул.
626461	"Учреждение ""Ошский областной центр судебно-медицинских экспертиз Министерства здравоохранения Кыргызской Республики"""	У-е«ООЦСМЭ»	Ошская	город Ош	Курманжан-Датка ул.
627141	ОШСКАЯ СПЕЦБОЛЬНИЦА	ОШСКАЯ СПЕЦБОЛЬНИЦА	Ошская	город Ош	Ленина ул.
308721	"ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №8 ""КАШКАЛАК"""	"ГСВ №8 ""КАШКАЛАК"""	Джалал-Абадская	Ала-Букинский	
305981	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""САРЫТАЛА"""	"ФАП ""САРЫТАЛА"""	Джалал-Абадская	Ала-Букинский	Ы.Кудайназарова ул.
307811	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""БИРДИК"""	"ФАП ""БИРДИК"""	Джалал-Абадская	Ноокенский	Достук ул.
306181	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""ПАРАКАНДА"""	"ФАП ""ПАРАКАНДА"""	Джалал-Абадская	Ноокенский	Арапбаев Абдраш ул.
345571	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""ТАШ-БУЛАК"""	"ФАП ""ТАШ-БУЛАК"""	Джалал-Абадская	Базар-Коргонский	Таш-Булак уч. 1 ул.
626271	ОШСКАЯ МЕЖОБЛАСТНАЯ ОБЪЕДИНЕННАЯ КЛИНИЧЕСКАЯ БОЛЬНИЦА	ОМОКБ	Ошская	город Ош	Верхне-Увамская ул.
512181	"ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №27 ""ОРУКЗАР"""	"ГСВ ""ОРУКЗАР"""	Баткенская	Кадамжайский	Божой-4 ул.
645231	"Учреждение ""Территориальная больница Кара-Сууйского района Ошской области"""	"У-е ""ТБ"""	Ошская	Кара-Сууйский	Б.Сыдыков ул.
305721	Тогуз-Тороуский Центр общеврачебной практики им.Аманкана Жакишова	ЦОВП ТОГУЗТОРОУСКИЙ	Джалал-Абадская	Тогуз-Тороуский	ул. Жээналиева
545241	"Фельдшерско -Акушерский Пункт ""Жетиген"""	"ФАП""Жетиген"""	Баткенская	Кадамжайский	
542991	Фельдшерско-акушерский пункт Рават №2	ФАП Рават №2	Баткенская	Баткенский	
618901	"ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №17 ""ЫНТЫМАК"""	"ГСВ №17 ""ЫНТЫМАК"""	Ошская	Ноокатский	
618861	"ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №12 ""ЦЕНТР"""	"ГСВ №12 ""ЦЕНТР"""	Ошская	Ноокатский	
