Код	Полное наименование	Короткое наименование	Регион	Район	Улица
825571	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""КАЛМАК-АШУУ"""	"ФАП ""КАЛМАК-АШУУ"""	Чуйская	Кеминский	
825601	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""БООБЕК"""	"ФАП ""БООБЕК"""	Чуйская	Кеминский	
824591	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""АН-АРЫК"""	"ФАП ""АН-АРЫК"""	Чуйская	Московский	
825841	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""15 ПАРТСЪЕЗД"""	"ФАП ""15 ПАРТСЪЕЗД"""	Чуйская	Панфиловский	
825831	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""БЕРЕКЕ"""	"ФАП ""БЕРЕКЕ"""	Чуйская	Панфиловский	
100911	ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №4	ГСВ №4	Бишкек	Ленинский	Гагарина Ю. ул.
825591	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""ТАР-СУУ"""	"ФАП ""ТАР-СУУ"""	Чуйская	Кеминский	
825581	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""КАШКЕЛЕН"""	"ФАП ""КАШКЕЛЕН"""	Чуйская	Кеминский	
926901	ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №7	ГСВ №7	город Ош	город Ош	
411291	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""АК-МОЮН"""	"ФАП ""АК-МОЮН"""	Нарынская	Ат-Башынский	Кадыралиев
825721	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""ОКТЯБРСКОЕ"""	"ФАП ""ОКТЯБРСКОЕ"""	Чуйская	Панфиловский	
841891	"ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ ""Джаны-Пахта"""	"ГСВ ""Джаны-Пахта"""	Чуйская	Сокулукский	
841911	"ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ ""Нижне-Чуйск"""	"ГСВ ""Нижне-Чуйск"""	Чуйская	Сокулукский	
926111	"ФИЛИАЛ ТЕРРИТОРИАЛЬНОЙ БОЛЬНИЦЫ №3 ""ОШ"""	"ФТБ №3 ""ОШ"""	город Ош	город Ош	Мира ул.
721321	"ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ ""КЫРК-КАЗЫК"""	"ГСВ ""КЫРК-КАЗЫК"""	Таласская	Таласский	
541351	Фельдшерский-Акушерский пункт Варган	ФАП ВАРГАН	Баткенская	Баткенский	
203311	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""ЛЕСХОЗ"""	"ФАП ""ЛЕСХОЗ"""	Иссык-Кульская	Жети-Огузский	Кушбеков
203351	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""АН-ОСТОН"""	"ФАП ""АН-ОСТОН"""	Иссык-Кульская	Жети-Огузский	Бугубай Ибраев ул.
926151	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""ОЗГУР"""	"ФАП ""ОЗГУР"""	город Ош	Озгур (Часть)	
541341	"Фельдшерский-акушерский  пункт ""Бакай"""	"ФАП ""БАКАЙ"""	Баткенская	Баткен	
926141	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""САЙ"""	"ФАП ""САЙ"""	город Ош	город Ош	
544471	"Фельдшерско акушерский пункт ""Кулунду Батыш"""	"ФАП ""Кулунду Батыш"""	Баткенская	Лейлекский	И.Раззаков ул.
822771	"ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ ""АЛА-ТОО"""	"ГСВ ""АЛА-ТОО"""	Чуйская	Аламудунский	
203251	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""ЧОН-ЖАРГЫЛЧАК"""	"ФАП ""ЧОН-ЖАРГЫЛЧАК"""	Иссык-Кульская	Жети-Огузский	Новостройка
926861	ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №3	ГСВ №3	город Ош	город Ош	
342201	ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №4	ГСВ №4	Джалал-Абадская	Сузакский	Ороз Шемаева
101881	ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №6	ГСВ №6	Бишкек	Свердловский	
241761	"Группа семейных врачей ""Чельпек"""	"ГСВ ""Чельпек"""	Иссык-Кульская	Ак-Суйский	
308871	ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №14	ГСВ №14	Джалал-Абадская	Сузакский	Школьная
823051	"ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ ""ЧЫМ-КОРГОН"""	"ГСВ ""ЧЫМ-КОРГОН"""	Чуйская	Кеминский	
341871	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""КОТКОР"""	"ФАП ""КОТКОР"""	Джалал-Абадская	Базар-Коргонский	б-н
514781	ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №20	ГСВ №20	Баткенская	Лейлекский	
411601	"ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ ""8 МАРТА"""	"ГСВ ""8 МАРТА"""	Нарынская	Нарынский	Дербишаалы уулу Сейитмамыт ул.
512241	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""КЫЗЫЛ-БЕЛЬ"""	"ФАП ""КЫЗЫЛ-БЕЛЬ"""	Баткенская	Баткенский	
642601	Стоматологическая служба	Стом. служба	Ошская	Кара-Сууйский	Б.Садыкова
643311	"Бригада Скорой Помощи ""Нариман"""	"БСП ""Нариман"""	Ошская	Кара-Сууйский	
720841	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""КЕНЕШ"""	"ФАП ""КЕНЕШ"""	Таласская	Манасский	А.Алдашукуров ул.
100651	РЕСПУБЛИКАНСКИЙ ЦЕНТР УКРЕПЛЕНИЯ ЗДОРОВЬЯ	РЦ УКРЕПЛЕНИЯ ЗДОРОВЬЯ	Бишкек	Первомайский	Логвиненко
101331	ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №5	ГСВ №5	Бишкек	Свердловский	
101491	ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №4	ГСВ №4	Бишкек	Ленинский	
721561	"ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ ""МАЙСКОЕ"""	"ГСВ ""МАЙСКОЕ"""	Таласская	Манасский	?.Д?йш?баев ул.
615841	"ОТДЕЛЕНИЕ С КОЙКАМИ КАРАКУЛДЖИСНКОЙ ЦСМ ""ОЙ-ТАЛ"""	"ОТД.С КОЙКАМИ КАРАКУЛД.ЦСМ ""ОЙ-ТАЛ"""	Ошская	Кара-Кулжинский	
102431	БИШКЕКСКИЙ МЕДИЦИНСКИЙ КОЛЛЕДЖ	БИШКЕКСКИЙ МЕДИЦИНСКИЙ КОЛЛЕДЖ	Бишкек	Первомайский	Логвиненко
927071	ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №5	ГСВ №5	город Ош	город Ош	
514671	ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №9	ГСВ №9	Баткенская	Кызыл-Кия	Токтогула ул.
821761	ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №2	ГСВ №2	Чуйская	Жайылский	
642381	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""ОМУР-НУРУ"""	"ФАП ""ОМУР-НУРУ"""	Ошская	Кара-Сууйский	Т.Дадабаева
412151	НАРЫНСКИЙ ОБЛАСТНОЙ МЕДИКО-ИНФОРМАЦИОННЫЙ ЦЕНТР	МИЦ НАРЫНСКИЙ ОБЛАСТНОЙ	Нарынская	Нарын	Качкынова С. ул.
616521	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""БИРДИК"""	"ФАП ""БИРДИК"""	Ошская	Кара-Сууйский	
512741	БАТКЕНКИЙ ОБЛАСТНОЙ ЦЕНТР КРОВИ	ЦЕНТР КРОВИ БАТКЕНСКОЙ ОБЛАСТИ	Баткенская	Баткен	С.Айтматов
344491	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""Т?Ш"""	"ФАП ""Т?Ш"""	Джалал-Абадская	Сузакский	Ахмедов Закиржан ул.
626421	ОШСКИЙ МЕЖОБЛАСТНОЙ СТОМАТ ЦЕНТР	ОШСКИЙ МЕЖОБЛ СТОМАТ ЦЕНТР	Ошская	город Ош	Алебастрова
514381	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""БУЛАК-БАШЫ"""	"ФАП ""БУЛАК-БАШЫ"""	Баткенская	Лейлекский	
203991	"ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ ""БАЛАЛЫК"""	"ГСВ ""БАЛАЛЫК"""	Иссык-Кульская	Ак-Суйский	
822021	"ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ ""ВОЗНЕСЕНОВКА"""	"ГСВ ""ВОЗНЕСЕНОВКА"""	Чуйская	Панфиловский	
926431	ГОРОДСКАЯ СТОМАТОЛОГИЧЕСКАЯ ПОЛИКЛИНИКА  №2	ГОР. СТОМ. №2	город Ош	город Ош	
514101	"ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ ""ЖАШТЫК"""	"ГСВ ""ЖАШТЫК"""	Баткенская	Лейлекский	
825621	"Фельдшерско-акушерский пункт ""Ак-Тюз"""	"ФАП ""Ак-Тюз"""	Чуйская	Кеминский	
823711	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""ДЖАЙЫЛМА"""	"ФАП ""ДЖАЙЫЛМА"""	Чуйская	Панфиловский	
643321	"Бригада Скорой Помощи ""Курманжан-Датка"""	"БСП ""Курманжан-Датка"""	Ошская	Кара-Сууйский	
310001	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""ЫНТЫМАК-3"""	"ФАП ""ЫНТЫМАК-3"""	Джалал-Абадская	Ноокенский	
203171	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""ТЕПКЕ"""	"ФАП ""ТЕПКЕ"""	Иссык-Кульская	Ак-Суйский	
203161	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""ЖЫЛДЫЗ"""	"ФАП ""ЖЫЛДЫЗ"""	Иссык-Кульская	Ак-Суйский	
205221	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""ДЖЕРГАЛАН"""	"ФАП ""ДЖЕРГАЛАН"""	Иссык-Кульская	Ак-Суйский	
204451	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""КАРА-КЫЗ"""	"ФАП ""КАРА-КЫЗ"""	Иссык-Кульская	Ак-Суйский	
203001	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""ЖЕРГЕЗ"""	"ФАП ""ЖЕРГЕЗ"""	Иссык-Кульская	Ак-Суйский	
203011	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""КАЙЫРМА-АРЫК"""	"ФАП ""КАЙЫРМА-АРЫК"""	Иссык-Кульская	Ак-Суйский	
203051	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""АК-БУЛУН"""	"ФАП ""АК-БУЛУН"""	Иссык-Кульская	Ак-Суйский	
203201	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""МАМАН"""	"ФАП ""МАМАН"""	Иссык-Кульская	Ак-Суйский	
512211	"ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ ""ИМ.РАЗЗАКОВА"""	"ГСВ ""ИМ.РАЗЗАКОВА"""	Баткенская	Лейлекский	
308861	ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №13	ГСВ №13	Джалал-Абадская	Сузакский	Абдураимов А.
308801	ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №3	ГСВ №3	Джалал-Абадская	Сузакский	Аскар-Ата
203431	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""САНАТОРИЙ ИССЫК-КУЛЬ"""	"ФАП ""САНАТОРИЙ ИССЫК-КУЛЬ"""	Иссык-Кульская	Жети-Огузский	Токтосунов Асанкадыр ул.
614981	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""КАРА-СУУ"""	"ФАП ""КАРА-СУУ"""	Ошская	Алайский	
203271	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""КОНКИНО"""	"ФАП ""КОНКИНО"""	Иссык-Кульская	Жети-Огузский	Школьная
643331	Кашкар-Кыштак ФЦОВП	Кашкар-Кыштак ФЦОВП	Ошская	Кара-Сууйский	
643341	Курманжан-Датка ФЦОВП	Курманжан-Датка ФЦОВП	Ошская	Кара-Сууйский	
643351	Консультативный отдел Кара-Суу ЦОВП	КЛО Кара-Суу ЦОВП	Ошская	Кара-Сууйский	
203581	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""КОЖОЯР"""	"ФАП ""КОЖОЯР"""	Иссык-Кульская	Иссык-Кульский	
204351	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""АК-ШИЙРАК"""	"ФАП ""АК-ШИЙРАК"""	Иссык-Кульская	Жети-Огузский	
203421	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""КИРПИЧНЫЙ ЗАВОД"""	"ФАП ""КИРПИЧНЫЙ ЗАВОД"""	Иссык-Кульская	Жети-Огузский	
203671	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""БАР-БУЛАК"""	"ФАП ""БАР-БУЛАК"""	Иссык-Кульская	Тонский	
306891	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""ЖАНЫ-ЖЕР"""	"ФАП ""ЖАНЫ-ЖЕР"""	Джалал-Абадская	Сузакский	Маматова З.
306021	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""КЫЗЫЛ-АСКЕР"""	"ФАП ""КЫЗЫЛ-АСКЕР"""	Джалал-Абадская	Ноокенский	
142531	"Учреждение ""Центр семейной медицины № 1 г. Бишкек"""	"У-е ""ЦСМ № 1 г. Бишкек"""	Бишкек	Ленинский	ул. Ю.Фучика
822721	"ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ ""БАЙТИК"""	"ГСВ ""БАЙТИК"""	Чуйская	Аламудунский	
822261	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""ГОРНАЯ МАЕВКА"""	"ФАП ""ГОРНАЯ МАЕВКА"""	Чуйская	Аламудунский	
306121	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""БЕШ-ЖЫГАЧ"""	"ФАП ""БЕШ-ЖЫГАЧ"""	Джалал-Абадская	Ноокенский	
618411	ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ КУРМАНЖАН ДАТКА 200 ЖЫЛ	ФАП КУРМАНЖАН ДАТКА 200 ЖЫЛ	Ошская	Алайский	
617211	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""БОСТОН"""	"ФАП ""БОСТОН"""	Ошская	Узгенский	
615191	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""ЧОН-БЮЛЕЛЮ"""	"ФАП ""ЧОН-БЮЛЕЛЮ"""	Ошская	Алайский	
615131	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""КАБЫЛАН-КОЛ"""	"ФАП ""КАБЫЛАН-КОЛ"""	Ошская	Алайский	
615061	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""АРЧА-БУЛАК"""	"ФАП ""АРЧА-БУЛАК"""	Ошская	Алайский	
615991	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""КЫЗЫЛ-КОШГУ"""	"ФАП ""КЫЗЫЛ-КОШГУ"""	Ошская	Кара-Сууйский	
616011	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""МАДАНИЯТ"""	"ФАП ""МАДАНИЯТ"""	Ошская	Кара-Сууйский	
619921	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""ЧОНОНОВА МАРИЯ"""	"ФАП ""ЧОНОНОВА МАРИЯ"""	Ошская	Кара-Кулжинский	
619891	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""АК-ТАШ"""	"ФАП ""АК-ТАШ"""	Ошская	Кара-Кулжинский	
616921	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""АК-КЫЯ"""	"ФАП ""АК-КЫЯ"""	Ошская	Кара-Кулжинский	
615681	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""ЖЫЛКОЛ"""	"ФАП ""ЖЫЛКОЛ"""	Ошская	Кара-Кулжинский	
615641	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""АТ-КЕЛТИР"""	"ФАП ""АТ-КЕЛТИР"""	Ошская	Кара-Кулжинский	
615611	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""САРЫ-КАМЫШ"""	"ФАП ""САРЫ-КАМЫШ"""	Ошская	Кара-Кулжинский	
615581	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""ЖИЙДЕ"""	"ФАП ""ЖИЙДЕ"""	Ошская	Кара-Кулжинский	
618041	ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ПАХТАБАТ	ФАП ПАХТАБАТ	Ошская	Араванский	
616081	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""УЙГУР-АБАД"""	"ФАП ""УЙГУР-АБАД"""	Ошская	Араванский	
616071	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""ОКТЯБРЬ"""	"ФАП ""ОКТЯБРЬ"""	Ошская	Араванский	
512341	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""ЗАР-ТАШ"""	"ФАП ""ЗАР-ТАШ"""	Баткенская	Баткенский	
512331	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""СОГМЕНТ"""	"ФАП ""СОГМЕНТ"""	Баткенская	Баткенский	
512391	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""КЫШТУТ"""	"ФАП ""КЫШТУТ"""	Баткенская	Баткенский	
514301	ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №15	ГСВ №15	Баткенская	Баткенский	
513151	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""ЧАРБАК"""	"ФАП ""ЧАРБАК"""	Баткенская	Баткенский	
544481	"Фельдешерско акушерский пункт ""Кулунду Чыгыш"""	"ФАП ""Кулунду Чыгыш"""	Баткенская	Лейлекский	Кулунду ул.
618321	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""КАРА-КЕСЕК"""	"ФАП ""КАРА-КЕСЕК"""	Ошская	Ноокатский	
617011	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""АК-ТЕРЕК"""	"ФАП ""АК-ТЕРЕК"""	Ошская	Ноокатский	
616991	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""ТЕСКЕЙ-КОЖОКЕ"""	"ФАП ""ТЕСКЕЙ-КОЖОКЕ"""	Ошская	Ноокатский	
616951	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""КОК-БЕЛЬ"""	"ФАП ""КОК-БЕЛЬ"""	Ошская	Ноокатский	
616781	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""МАМАЗИЯЕВ"""	"ФАП ""им.МАМАЗИЯЕВ"""	Ошская	Ноокатский	
616701	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""ТЕМИР-КОРУК"""	"ФАП ""ТЕМИР-КОРУК"""	Ошская	Ноокатский	
616631	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""ГУЛИСТАН"""	"ФАП ""ГУЛИСТАН"""	Ошская	Ноокатский	
617421	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""КЫРГЫЗСТАН"""	"ФАП ""КЫРГЫЗСТАН"""	Ошская	Узгенский	
617361	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""АЮ САЙ"""	"ФАП ""АЮ САЙ"""	Ошская	Узгенский	
617321	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""ЖЭЭРЕНЧИ"""	"ФАП ""ЖЭЭРЕНЧИ"""	Ошская	Узгенский	
616251	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""КЕРМЕ-ТОО"""	"ФАП ""КЕРМЕ-ТОО"""	Ошская	Кара-Сууйский	
616361	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""ОСМОН"""	"ФАП ""ОСМОН"""	Ошская	Кара-Сууйский	
616481	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""КОНУРАТ"""	"ФАП ""КОНУРАТ"""	Ошская	Кара-Сууйский	
616611	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""МАДАНИЯТ"""	"ФАП ""МАДАНИЯТ"""	Ошская	Кара-Сууйский	
513271	"ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ ""САМАРКАНДЫК"""	"ГСВ ""САМАРКАНДЫК"""	Баткенская	Баткен	
512201	"ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ ""ПЛОДОПИТОМНИК"""	"ГСВ ""ПЛОДОПИТОМНИК"""	Баткенская	Кадамжайский	А.Каримов ул.
926481	ГОРОДСКАЯ СТОМАТОЛОГИЧЕСКАЯ ПОЛИКЛИНИКА №1	ГОР. СТОМ №1	город Ош	город Ош	Масалиева
309511	"ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ ""САРЫ-КАМЫШ"""	"ГСВ ""САРЫ-КАМЫШ"""	Джалал-Абадская	Токтогульский	
822901	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""АЛТЫМЫШ"""	"ФАП ""АЛТЫМЫШ"""	Чуйская	Кеминский	
823201	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""ТОРТ-КУЛЬ"""	"ФАП ""ТОРТ-КУЛЬ"""	Чуйская	Кеминский	
513561	ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №20	ГСВ №20	Баткенская	Кадамжайский	Токоев Самат ул.
513631	ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №3	ГСВ №3	Баткенская	Лейлекский	Мектеп
306151	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""ЖИВПРОМ"""	"ФАП ""ЖИВПРОМ"""	Джалал-Абадская	Ноокенский	Рассвет ул.
512831	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""КЕНЧИ"""	"ФАП ""КЕНЧИ"""	Баткенская	Сулюкта	
825651	"ЦЕНТР ОБЩЕВРАЧЕБНОЙ ПРАКТИКИ ""АРАШАН"""	"ЦОВП ""АРАШАН"""	Чуйская	Аламудунский	Акматова
618091	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""КАРАТАРЫХ"""	"ФАП ""КАРАТАРЫХ"""	Ошская	Узгенский	
617251	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""КЫЗЫЛСЕНИР"""	"ФАП ""КЫЗЫЛСЕНИР"""	Ошская	Узгенский	
617151	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ имени""АККУЛОВ МАРИП"""	"ФАП имени ""АККУЛОВ МАРИП"""	Ошская	Узгенский	
617561	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""КЫЗЫЛ-ЧАРБА"""	"ФАП ""КЫЗЫЛ-ЧАРБА"""	Ошская	Узгенский	
617491	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""БАВЫР"""	"ФАП ""БАВЫР"""	Ошская	Узгенский	
513611	ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №1	ГСВ №1	Баткенская	Лейлекский	
512901	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""ТАШ-ТУМШУК"""	"ФАП ""ТАШ-ТУМШУК"""	Баткенская	Баткен	
309211	"ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №10 ""МУНДУЗ"""	"ГСВ №10 ""МУНДУЗ"""	Джалал-Абадская	Базар-Коргонский	
308231	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""КЫЗЫЛ-СЕНИР"""	"ФАП ""КЫЗЫЛ-СЕНИР"""	Джалал-Абадская	Сузакский	Мамасадыков
306781	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""АК-БУЛАК"""	"ФАП ""АК-БУЛАК"""	Джалал-Абадская	Сузакский	
306031	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""БОЗЧЫЧКАН"""	"ФАП ""БОЗЧЫЧКАН"""	Джалал-Абадская	Сузакский	Азимов Тургунбай
306811	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""БАГЫШ"""	"ФАП ""БАГЫШ"""	Джалал-Абадская	Сузакский	
306841	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""ГАВРИЛОВКА"""	"ФАП Орто-Сай ( ""ГАВРИЛОВКА"""")"""	Джалал-Абадская	Сузакский	
202861	Иссык-Кульский областной центр по контролю за гемоконтактными  вирусными гепатитами и вирусом  иммунодефицита человека	"ЦЕНТР ""СПИД"""" ИССЫК-КУЛЬСКИЙ ОБЛАСТНОЙ"""	Иссык-Кульская	Каракол	Пролетарская
306881	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""ЖАНЫ-АРЫК"""	"ФАП ""ЖАНЫ-АРЫК"""	Джалал-Абадская	Сузакский	
308491	"ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ №5 ""КЫЗЫЛ-АЙ"""	"ГСВ №5 ""КЫЗЫЛ-АЙ"""	Джалал-Абадская	Базар-Коргонский	
512771	БАТКЕНСКОЕ ОБЛАСТНОЕ БЮРО СУДЕБНОЙ МЕДИЦИНСКОЙ ЭКСПЕРТИЗЫ	СУДМЕДЭКСПЕРТИЗА БАТКЕНСКОЙ ОБЛАСТИ	Баткенская	Баткен	Раззаков
309731	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""КАПЧЫГАЙ"""	"ФАП ""КАПЧЫГАЙ"""	Джалал-Абадская	Аксыйский	
306411	"ФЕЛЬДШЕРСКО-АКУШЕРСКИЙ ПУНКТ ""КОРГОН"""	"ФАП ""КОРГОН"""	Джалал-Абадская	Аксыйский	
309601	"ГРУППА СЕМЕЙНЫХ ВРАЧЕЙ ""ДЖАНЫ-ДЖОЛ"""	"ГСВ ""ДЖАНЫ-ДЖОЛ"""	Джалал-Абадская	Аксыйский	
